Year,State,Enrollment,Graduation_Rate,Education_Budget
2018,Delhi,1555749,85,375099520
2024,Delhi,1577802,66,251142569
2024,Karnataka,1408050,75,441078642
2019,Gujarat,1446035,90,764218420
2015,Delhi,1160275,79,391181830
2018,Maharashtra,1890610,86,211795964
2021,Gujarat,1918687,72,449583940
2019,Maharashtra,1769544,89,411705176
2023,Karnataka,1157617,86,419731220
2020,Gujarat,1458463,78,448788495
2021,Maharashtra,1498777,79,307397261
2018,Karnataka,1226915,81,633966679
2021,Tamil Nadu,1677716,77,568866970
2020,Karnataka,1670332,83,630029303
2022,Karnataka,1611977,81,325164611
2017,Maharashtra,942353,83,519075131
2019,Tamil Nadu,1104959,72,710984383
2022,Delhi,1681279,82,202107693
2015,Gujarat,1132083,71,636921117
2018,Tamil Nadu,1959578,67,340419653
2015,Delhi,1270151,87,422070596
2024,Karnataka,1837139,76,722572514
2020,Delhi,1803013,86,439584221
2018,Karnataka,1674920,78,781644679
2016,Delhi,1053470,78,361957832
2022,Maharashtra,1344638,71,753446341
2018,Delhi,975972,90,299250409
2016,Gujarat,1231152,80,726601644
2019,Maharashtra,1986297,77,356428156
2024,Karnataka,836751,89,668849846
2021,Maharashtra,1263618,88,463257131
2017,Karnataka,1295320,80,795478882
2020,Tamil Nadu,1867122,69,564266496
2018,Karnataka,1693709,65,336329656
2018,Karnataka,1347156,74,556326548
2017,Karnataka,1729822,88,548081641
2022,Delhi,1704683,66,411256178
2017,Tamil Nadu,898599,81,768891476
2016,Karnataka,1124846,67,579274036
2015,Delhi,1902628,71,697859006
2021,Delhi,1033609,82,490055904
2020,Karnataka,1085314,65,785803532
2024,Karnataka,1557926,72,401911404
2017,Maharashtra,1555305,77,441734576
2017,Tamil Nadu,1672601,82,399770631
2016,Gujarat,956526,79,350569745
2018,Gujarat,1860462,68,673039947
2023,Delhi,1587809,85,281410197
2022,Karnataka,1607620,74,771152419
2020,Karnataka,919631,76,602884952
2020,Tamil Nadu,834911,77,562953140
2022,Delhi,1241971,72,570189414
2016,Maharashtra,1487194,70,402766324
2019,Tamil Nadu,936986,65,507517324
2023,Delhi,973782,89,425607679
2022,Gujarat,1986047,73,673647900
2021,Maharashtra,1087845,89,413006062
2019,Tamil Nadu,1435872,85,373124935
2024,Delhi,1422866,87,340111438
2023,Maharashtra,1994459,90,642258087
2015,Gujarat,1123362,80,704597870
2015,Karnataka,1937681,74,575849579
2016,Tamil Nadu,1539378,65,360472108
2023,Tamil Nadu,1988976,81,657885311
2023,Tamil Nadu,1490753,68,673251901
2024,Karnataka,1997826,69,231215914
2021,Maharashtra,1520985,66,752297526
2016,Karnataka,1981202,78,691644695
2021,Gujarat,1738031,90,507082449
2021,Delhi,1417484,73,558843728
2019,Delhi,1208481,79,208545603
2016,Delhi,1540415,66,374992432
2023,Delhi,1315655,69,377788204
2015,Karnataka,932491,68,556084294
2017,Karnataka,1701848,66,267783963
2015,Maharashtra,1985669,70,631737597
2021,Karnataka,1845983,82,776681817
2019,Gujarat,1274178,74,651144453
2024,Delhi,1834669,66,462551210
2021,Tamil Nadu,1163792,80,307227579
2024,Gujarat,944585,79,505238848
2017,Delhi,1936244,81,703680878
2019,Delhi,1585518,78,290519242
2023,Maharashtra,1600865,72,488597219
2023,Tamil Nadu,1733037,76,367555926
2015,Maharashtra,1451875,77,566612667
2022,Gujarat,826812,76,766495218
2021,Karnataka,934212,90,648915056
2022,Maharashtra,1907762,69,347885530
2018,Karnataka,1529630,83,604245466
2020,Tamil Nadu,1668735,74,328881755
2022,Tamil Nadu,972093,75,677282465
2024,Delhi,853405,66,648561742
2024,Tamil Nadu,1308590,65,422108856
2019,Delhi,1115513,90,506267827
2017,Maharashtra,1740880,87,292090192
2023,Karnataka,1722875,75,794093251
2021,Delhi,1967861,89,244570408
2024,Maharashtra,1391028,83,234811104
2023,Gujarat,1201578,76,203639757
2022,Tamil Nadu,1258386,89,504057964
2023,Tamil Nadu,1733076,67,620923886
2015,Gujarat,1175162,66,560269571
2017,Maharashtra,1409637,65,768405096
2021,Delhi,1788715,80,625873612
2023,Tamil Nadu,1581636,74,231931670
2024,Gujarat,893254,75,777090800
2018,Maharashtra,1971491,71,506164533
2018,Karnataka,1459704,82,760302557
2021,Delhi,1409717,77,384207364
2020,Delhi,1247326,77,744645315
2016,Gujarat,1737455,78,620860455
2015,Maharashtra,1637948,88,528063796
2017,Delhi,1105985,73,750479527
2023,Tamil Nadu,1444336,74,395146209
2024,Maharashtra,1581732,81,345061254
2022,Delhi,1019151,66,334841012
2024,Maharashtra,1153130,76,397018742
2015,Gujarat,1353998,73,418197590
2017,Delhi,1737288,88,579526240
2021,Tamil Nadu,920459,79,291711840
2023,Delhi,837481,72,338793940
2019,Gujarat,1673745,80,515305264
2024,Tamil Nadu,1352304,68,617226615
2016,Karnataka,1384119,87,596720089
2018,Maharashtra,883513,85,425649401
2020,Delhi,1620385,78,319090582
2017,Maharashtra,1489149,84,447160328
2019,Gujarat,1298775,71,696179320
2020,Karnataka,1694188,89,475164339
2022,Karnataka,1787044,76,608147842
2016,Tamil Nadu,1015240,70,392939459
2019,Delhi,940867,73,301026644
2015,Maharashtra,1932210,75,273870952
2020,Karnataka,895697,76,583871926
2020,Maharashtra,1036294,72,462603105
2015,Delhi,1791756,84,618479335
2016,Karnataka,884332,79,644261168
2019,Karnataka,1186423,84,535010490
2023,Gujarat,1019461,72,687793467
2021,Tamil Nadu,1686195,85,480974491
2024,Delhi,1145739,65,682165315
2022,Tamil Nadu,1003733,74,548589519
2023,Maharashtra,1892343,72,355925240
2017,Delhi,1398780,82,528611720
2019,Gujarat,913000,88,756378468
2017,Gujarat,1686911,82,442222633
2020,Karnataka,867758,71,429199853
2023,Karnataka,1553994,69,501241900
2018,Karnataka,1662092,80,707882982
2022,Delhi,1286659,88,335691059
2020,Tamil Nadu,831919,78,223277819
2022,Tamil Nadu,1661928,90,429605656
2024,Delhi,1209167,86,217597719
2021,Maharashtra,914757,68,788946308
2021,Tamil Nadu,1404656,86,556418835
2020,Delhi,1331227,68,619618538
2016,Maharashtra,1695204,89,749887427
2021,Tamil Nadu,1198517,66,693933034
2021,Tamil Nadu,1157940,74,240149060
2019,Maharashtra,908982,80,607281274
2020,Tamil Nadu,1571872,86,461333246
2015,Karnataka,864984,89,646855381
2015,Maharashtra,1269216,70,311782880
2024,Tamil Nadu,1333947,86,406063686
2015,Tamil Nadu,1932965,68,300929239
2021,Delhi,941138,89,307242896
2022,Delhi,1821099,81,344198858
2024,Karnataka,1789434,70,212948764
2021,Karnataka,1317585,70,523181667
2020,Delhi,1641495,76,579534471
2016,Maharashtra,1993127,79,602827533
2019,Tamil Nadu,1832499,88,264375048
2016,Delhi,1551436,68,484803322
2020,Tamil Nadu,866460,88,645069269
2021,Maharashtra,1478887,85,540775241
2022,Karnataka,1515676,77,344661475
2018,Karnataka,1836306,66,662073586
2023,Maharashtra,815274,77,206869423
2023,Maharashtra,1347834,78,254667711
2019,Delhi,1918358,75,617668131
2021,Karnataka,1224346,65,334709913
2022,Maharashtra,1622091,65,689011853
2022,Karnataka,823294,76,266794733
2020,Maharashtra,1211274,70,765712232
2024,Karnataka,1632420,66,377093877
2022,Karnataka,817560,81,539374170
2021,Delhi,1707635,66,267034226
2016,Gujarat,1300117,80,699751546
2020,Maharashtra,1061086,90,365628792
2022,Gujarat,1491371,67,602023859
2020,Gujarat,1021831,65,229212059
2019,Karnataka,1495180,85,588651940
2018,Maharashtra,1958855,67,372579106
2019,Tamil Nadu,1693785,88,746157245
2017,Maharashtra,1490464,78,712335370
2023,Gujarat,1536217,79,288161119
2021,Delhi,1477787,67,302743492
2017,Karnataka,927714,68,768698253
2018,Maharashtra,1170368,80,721564170
2016,Gujarat,1932490,90,251051482
2017,Gujarat,999236,80,203980926
2022,Gujarat,1630548,90,254021832
2019,Tamil Nadu,1330422,89,609820595
2023,Gujarat,1930508,72,550882280
2021,Karnataka,1928062,68,213719310
2017,Maharashtra,1125862,85,303790688
2024,Karnataka,1008789,72,332309782
2023,Maharashtra,1599892,86,776586031
2017,Maharashtra,1463511,77,762987322
2023,Delhi,1035378,90,356530423
2015,Gujarat,911055,70,410248220
2022,Delhi,1624917,65,439451474
2023,Gujarat,809283,70,537781061
2017,Maharashtra,1710731,76,602250340
2023,Maharashtra,1401103,89,634063283
2020,Karnataka,1980176,89,342449228
2017,Gujarat,1242190,69,323194970
2019,Gujarat,1356152,87,490315049
2021,Maharashtra,863818,69,244549857
2016,Karnataka,1646432,84,474242903
2024,Gujarat,1948005,74,678065438
2021,Maharashtra,975991,77,539453634
2017,Karnataka,1240615,74,576357293
2021,Delhi,1128175,69,347990522
2019,Maharashtra,889043,89,533844722
2018,Delhi,1473864,89,718437795
2015,Gujarat,1839095,79,345121888
2016,Delhi,835200,76,284206642
2018,Karnataka,1214404,73,629929911
2024,Tamil Nadu,1291248,89,487958480
2023,Karnataka,1612559,90,256688401
2024,Tamil Nadu,1478199,83,366406968
2023,Karnataka,1445710,71,441156728
2015,Maharashtra,1651516,82,660933369
2022,Delhi,1501456,74,610536811
2019,Maharashtra,1288367,81,690268403
2017,Delhi,1638911,85,319265884
2021,Maharashtra,1851315,85,230946868
2022,Delhi,1145215,73,775229823
2023,Maharashtra,803081,81,466696230
2017,Delhi,1160697,71,380787931
2024,Delhi,1333911,86,726094600
2023,Gujarat,1565522,68,797141275
2016,Tamil Nadu,1023255,79,385078656
2024,Gujarat,947201,75,232840921
2019,Gujarat,881421,75,441374002
2018,Delhi,1735561,85,520020697
2016,Maharashtra,1819201,75,617497988
2018,Tamil Nadu,1001952,89,318250770
2019,Tamil Nadu,1641787,74,464299443
2022,Maharashtra,1750393,82,293949650
2019,Gujarat,1028830,89,465566301
2022,Karnataka,1732178,84,427073206
2024,Maharashtra,1634258,86,740171088
2023,Delhi,1233659,68,289756866
2024,Tamil Nadu,1601616,89,312921319
2017,Gujarat,1146090,89,467229832
2018,Delhi,1649246,87,316007426
2022,Delhi,1905207,67,345545144
2024,Maharashtra,1772650,88,238907853
2019,Delhi,1033403,87,604900570
2023,Gujarat,1153249,88,685419751
2017,Tamil Nadu,1670892,72,777919704
2019,Delhi,1567822,83,442307830
2018,Tamil Nadu,1774297,76,540568582
2017,Delhi,1652849,86,419778428
2015,Gujarat,1730691,87,598304331
2024,Tamil Nadu,1652040,68,256220697
2021,Delhi,1472247,75,431922954
2020,Delhi,1687640,68,779674763
2021,Tamil Nadu,972411,75,235149899
2023,Maharashtra,1766646,72,247561549
2017,Maharashtra,850278,80,304408598
2019,Maharashtra,1329270,71,753392511
2021,Maharashtra,1907661,80,363729043
2024,Gujarat,1243459,73,606299239
2020,Maharashtra,1035524,70,385075405
2023,Tamil Nadu,1130889,65,327139522
2021,Gujarat,1586863,83,361048054
2024,Maharashtra,1643608,80,456437148
2017,Gujarat,945845,88,603907257
2023,Karnataka,1826323,71,575140307
2019,Karnataka,877291,78,318934837
2020,Karnataka,991217,75,304290932
2022,Karnataka,816230,70,479244645
2021,Maharashtra,1938059,88,263188005
2023,Delhi,1025240,75,221641791
2015,Gujarat,1474873,88,331001337
2015,Gujarat,858072,70,626877885
2017,Tamil Nadu,1518776,73,674377782
2017,Gujarat,1735648,73,625853982
2016,Karnataka,1922402,65,637431552
2023,Karnataka,1880522,88,244636123
2016,Maharashtra,917023,73,546922856
2015,Maharashtra,1323030,72,304609218
2021,Delhi,1091680,75,532011684
2016,Karnataka,1096670,89,776112104
2017,Tamil Nadu,1975940,83,430824065
2021,Gujarat,1629556,90,228611200
2017,Maharashtra,1996904,67,537023213
2018,Tamil Nadu,1024004,84,399393985
2020,Tamil Nadu,1293899,66,749277784
2015,Gujarat,1370470,84,666552625
2023,Delhi,1920621,80,319916633
2015,Karnataka,1089284,71,538941760
2015,Tamil Nadu,1905025,66,539489409
2020,Tamil Nadu,855911,82,229511635
2016,Karnataka,965206,74,434496789
2021,Maharashtra,1340204,72,481701722
2020,Tamil Nadu,1954434,88,740996978
2017,Delhi,1116986,71,607427402
2019,Maharashtra,884941,66,620007213
2019,Tamil Nadu,918729,82,363941254
2017,Tamil Nadu,1050453,68,718284385
2024,Karnataka,1326464,80,297945261
2020,Maharashtra,1091056,86,544051758
2024,Maharashtra,1816910,76,216143506
2022,Gujarat,1172662,66,589224871
2021,Tamil Nadu,1883229,75,654854824
2021,Maharashtra,931379,72,621633639
2024,Tamil Nadu,1190153,82,790124094
2019,Karnataka,1507200,76,262727508
2015,Karnataka,1834364,73,658370808
2021,Maharashtra,1076257,65,672727727
2021,Maharashtra,1819159,84,643355815
2018,Delhi,1073436,77,613264246
2015,Delhi,904686,87,389041350
2017,Gujarat,1146050,71,306685697
2020,Maharashtra,1811040,78,462669573
2015,Maharashtra,869158,89,224818708
2016,Gujarat,1847318,78,782307754
2020,Delhi,1746090,85,348924421
2021,Tamil Nadu,1108395,89,267723310
2022,Delhi,1288382,70,413961073
2022,Tamil Nadu,1592619,72,526387672
2019,Delhi,1186233,88,721976696
2017,Tamil Nadu,900050,84,581533610
2024,Tamil Nadu,1435156,65,459291331
2016,Tamil Nadu,1566827,79,299982409
2019,Delhi,1274297,74,325439488
2016,Gujarat,1027603,75,390876942
2018,Maharashtra,1469460,82,402966040
2023,Gujarat,1537798,73,637555234
2019,Tamil Nadu,1179840,81,744278723
2020,Maharashtra,1508591,70,449107109
2024,Karnataka,1859594,80,630131595
2018,Delhi,1144119,74,491284799
2021,Delhi,1433659,88,762780033
2017,Tamil Nadu,1491093,75,682861141
2021,Maharashtra,1376969,76,528852516
2018,Tamil Nadu,1212776,68,696605681
2020,Maharashtra,849930,79,720934687
2023,Tamil Nadu,1401211,83,491678815
2016,Karnataka,1822277,87,787108366
2024,Gujarat,879255,77,275378641
2016,Maharashtra,1345292,78,517838867
2015,Gujarat,1136888,69,346275222
2022,Gujarat,1815006,66,385989931
2016,Karnataka,1016455,65,438579594
2017,Tamil Nadu,1768315,71,334207363
2022,Delhi,1375412,70,719839604
2020,Delhi,1580586,82,276206697
2021,Tamil Nadu,1610470,83,651153497
2019,Delhi,1709546,80,779337313
2016,Gujarat,1064748,90,450301483
2021,Tamil Nadu,912272,88,418410098
2023,Karnataka,1675217,90,211670160
2022,Gujarat,1002620,90,327771287
2020,Gujarat,1131624,67,601089408
2024,Delhi,1564518,67,245197546
2017,Karnataka,1983522,74,472041281
2022,Tamil Nadu,1005912,75,725507256
2018,Karnataka,1685998,78,683530597
2023,Gujarat,1237928,80,704115747
2019,Gujarat,1582567,67,793179692
2023,Gujarat,1430854,67,351175454
2022,Gujarat,890279,85,469381139
2023,Karnataka,1069481,84,282185153
2015,Tamil Nadu,1308417,87,344308787
2024,Karnataka,1700905,83,782133958
2016,Delhi,1924247,88,591582911
2022,Tamil Nadu,1260913,67,760743379
2021,Gujarat,1749395,83,752202052
2024,Karnataka,1396050,72,521002428
2018,Karnataka,1057178,82,425654267
2024,Tamil Nadu,915425,86,515168391
2021,Tamil Nadu,1413676,88,733165002
2018,Gujarat,1836769,69,584364715
2015,Tamil Nadu,1257874,79,590013499
2016,Tamil Nadu,1758825,87,591142920
2022,Delhi,1447148,88,290999949
2020,Karnataka,806859,68,624842871
2015,Maharashtra,1790656,80,375393931
2019,Karnataka,986950,87,658604581
2018,Delhi,1690588,88,641951093
2021,Gujarat,1636471,74,529090463
2018,Tamil Nadu,1290113,71,709891164
2015,Delhi,880940,90,282141072
2018,Gujarat,1512749,70,594336189
2019,Gujarat,922232,85,478007722
2015,Tamil Nadu,867662,90,431781392
2020,Tamil Nadu,1424877,84,497467482
2021,Maharashtra,920520,86,324879729
2023,Gujarat,1063708,65,328654040
2016,Delhi,1553242,80,291837676
2015,Karnataka,868614,82,728597165
2015,Delhi,1532176,81,544618689
2021,Delhi,1242437,79,546625288
2024,Gujarat,1575946,83,454369912
2020,Tamil Nadu,903528,68,737971330
2020,Tamil Nadu,860770,85,749781428
2019,Karnataka,1938728,88,332480665
2017,Karnataka,1785828,78,596779613
2018,Tamil Nadu,813012,67,693568335
2020,Delhi,1551922,67,624068513
2017,Maharashtra,1976639,76,789895019
2021,Delhi,835987,85,757193880
2019,Karnataka,1576599,68,477798388
2022,Gujarat,1879704,85,202242683
2016,Maharashtra,1079591,85,571750118
2022,Maharashtra,845858,83,616503351
2024,Karnataka,1621818,73,591662390
2016,Tamil Nadu,867489,86,705039762
2019,Karnataka,1363129,71,482268631
2023,Gujarat,1689570,84,400298684
2022,Delhi,1694702,90,779260592
2017,Gujarat,1551917,85,608041005
2019,Maharashtra,1353522,80,414582079
2017,Tamil Nadu,1461094,84,576420271
2020,Delhi,1653119,78,482648818
2015,Tamil Nadu,805206,66,612420427
2022,Gujarat,1750981,77,483291177
2022,Tamil Nadu,841700,87,497481324
2023,Gujarat,1262964,78,343937775
2021,Gujarat,1582882,84,790564975
2021,Gujarat,1663098,65,342965449
2022,Karnataka,861207,66,601756879
2017,Maharashtra,1141269,76,744138477
2022,Gujarat,1557821,68,333501297
2022,Gujarat,1263071,70,431934637
2018,Gujarat,1919317,73,576196786
2016,Tamil Nadu,1723837,85,701334803
2015,Gujarat,1501786,65,756447500
2024,Delhi,1476524,82,453428841
2019,Delhi,1400515,79,437525284
2022,Gujarat,1818349,72,578521902
2024,Karnataka,1676356,66,351792618
2018,Gujarat,1614120,79,612624788
2024,Maharashtra,1180892,77,317458297
2020,Gujarat,822229,75,424215963
2023,Karnataka,1009275,90,770148283
2020,Gujarat,1572063,78,333328719
2024,Maharashtra,1391309,77,682747775
2019,Delhi,911436,73,354198948
2020,Delhi,1439398,85,422365833
2019,Delhi,889651,82,432257890
2016,Maharashtra,811759,89,644018691
2022,Tamil Nadu,1226432,90,731883457
2017,Maharashtra,1655751,75,790603946
2020,Delhi,945759,86,571427675
2019,Delhi,1596802,86,551660422
2018,Tamil Nadu,1429683,78,332739301
2018,Maharashtra,1800524,83,594518249
2015,Gujarat,983353,83,302616273
2022,Gujarat,1353709,89,608218285
2015,Delhi,1736908,87,206482468
2021,Maharashtra,1403589,75,413864817
2019,Tamil Nadu,1642101,89,611981807
2020,Delhi,826693,68,791268552
2022,Delhi,1953201,81,400395846
2017,Karnataka,1124199,74,450067047
2016,Tamil Nadu,1997477,88,349496424
2018,Maharashtra,1211202,85,225564146
2023,Delhi,1133615,72,339686440
2022,Maharashtra,811747,70,664898673
2023,Gujarat,979823,81,534439730
2015,Maharashtra,1596055,77,765652984
2021,Gujarat,1475418,90,669889327
2023,Tamil Nadu,1916436,82,252618334
2018,Gujarat,1069081,75,408270307
2016,Tamil Nadu,1694925,72,268190290
2021,Tamil Nadu,1601353,83,299643833
2022,Tamil Nadu,1938725,83,578528056
2024,Karnataka,1265536,76,716385390
2015,Gujarat,1448081,88,436438840
2018,Maharashtra,1842047,78,411447609
2021,Delhi,1777953,69,793936870
2023,Gujarat,1924614,70,755513291
2021,Maharashtra,1806445,69,333655703
2016,Delhi,1195542,67,629445280
2018,Gujarat,1123257,78,506685910
2024,Gujarat,855442,76,609815298
2021,Tamil Nadu,1778775,69,452329143
2020,Maharashtra,919507,72,644725556
2020,Delhi,889175,82,695157296
2016,Tamil Nadu,1539105,90,327410418
2022,Maharashtra,872101,66,259935206
2019,Maharashtra,1623747,82,626086126
2018,Delhi,1740383,69,796215014
2021,Tamil Nadu,1850403,88,757233405
2018,Tamil Nadu,1860029,88,301811300
2016,Delhi,845191,86,282278774
2021,Maharashtra,1641719,81,781445183
2023,Karnataka,809858,83,436848222
2015,Tamil Nadu,1393165,75,782683719
2023,Maharashtra,1441317,79,693564963
2024,Delhi,1241004,65,403210659
2016,Tamil Nadu,1857044,89,312480588
2024,Karnataka,1562931,76,678165169
2024,Delhi,1704170,67,694126004
2020,Maharashtra,1912659,75,369110438
2022,Tamil Nadu,1378917,75,791517631
2021,Karnataka,1772444,67,637476313
2017,Tamil Nadu,1671899,78,271743474
2019,Karnataka,1378106,67,646695836
2018,Tamil Nadu,1968793,80,534027409
2024,Tamil Nadu,1693275,77,229136349
2015,Karnataka,896700,72,714730549
2020,Tamil Nadu,1270925,71,588675551
2019,Maharashtra,1549917,86,616483541
2022,Delhi,1047325,81,432899623
2019,Gujarat,818825,89,409551062
2016,Tamil Nadu,1661869,66,767753197
2021,Maharashtra,1663015,80,242917772
2021,Tamil Nadu,943433,75,623811917
2023,Karnataka,959920,78,370590059
2023,Gujarat,1191581,76,737344337
2020,Maharashtra,1026804,69,316631314
2020,Delhi,1274490,68,743732732
2023,Delhi,1401398,90,647138907
2019,Karnataka,1348426,78,489024898
2021,Karnataka,1225132,90,677620932
2021,Delhi,1097238,72,753973036
2015,Gujarat,1547941,86,701466483
2022,Karnataka,1346904,80,509932781
2018,Maharashtra,1678984,68,320241538
2017,Gujarat,1503079,72,406301806
2020,Karnataka,967728,85,453926943
2023,Karnataka,1879353,81,201257233
2024,Tamil Nadu,1285307,65,746643705
2015,Delhi,1569233,90,356504722
2022,Delhi,1425918,77,703061267
2019,Karnataka,1335030,88,312424844
2018,Karnataka,1135399,73,227338642
2024,Tamil Nadu,1818622,67,671689180
2015,Tamil Nadu,1241564,89,433553720
2023,Delhi,1973023,82,548584201
2023,Gujarat,1555546,79,783845363
2019,Delhi,1880906,78,716547871
2019,Maharashtra,1210732,84,244609770
2024,Karnataka,1973486,71,561308653
2016,Gujarat,1971284,73,604998144
2019,Gujarat,1178783,67,626521519
2019,Maharashtra,1147764,89,280750925
2024,Delhi,1440516,74,217852685
2022,Karnataka,1029768,69,693976262
2017,Gujarat,1707120,72,637587977
2017,Maharashtra,1364220,82,613651879
2015,Delhi,993435,74,760753454
2015,Gujarat,1999975,89,238215397
2017,Delhi,1117778,69,687845583
2017,Maharashtra,1647759,83,386218145
2020,Karnataka,1171143,66,217954838
